,text,label,content
0," Algunas de las voces extremistas más conocidas de EE.UU., cuentas asociadas con al movimiento de la conocida como alt-right o ligadas a grupos antisemitas o xenófobos , han sido eliminadas de un plumazo de la redes sociales Facebook e Instagram. Se trat",0,voce extremista m s conocida ee uu cuenta asociada movimiento conocida alt right ligada grupo antisemita xen fobo sido eliminada plumazo rede social facebook instagram trat
1," Después de casi dos años y medio de luchas políticas y judiciales, Donald Trump ha presentado hoy su proyecto de inmigración para Estados Unidos . Es un proyecto elaborado por el yerno y asesor de Donald Trump, Jared Kushner, que sólo concreta una cosa:",0,despu s casi do medio lucha pol tica judicial donald trump presentado hoy proyecto inmigraci n unido proyecto elaborado yerno asesor donald trump jare kushner s concreta cosa
2, Dos periodistas birmanos de la agencia Reuters fueron liberados este martes al recibir un perdón del presidente de su país tras pasar año y medio en prisión por revelar una matanza del Ejército contra la minoría musulmana rohingya. Wa Lone y Kyaw Soe Oo,0,do periodista birmano agencia reuter liberado mart recibir perd n president pa s tra pasar medio prisi n revelar matanza ej rcito minor musulmana rohingya wa lone kyaw soe oo
3, El Cuerpo Nacional de Policía ha detenido a cuatro personas acusadas de formar parte de un grupo criminal dedicado al tráfico de seres humanos en la frontera francoespañola de Irún (Gipuzkoa). Esta célula captaba extranjeros llegados en pateras y les of,0,cuerpo nacion polic detenido cuatro persona acusada formar part grupo crimin dedicado tr fico sere humano frontera francoespa ola ir n gipuzkoa c lula captaba extranjero llegado patera of
4, El desfile de la firma en Roma se convierte en una oda a la libertad de las mujeres para decidir sobre sus propios cuerpos. Los Museos Capitolinos de Roma se transformaron la noche del martes en escenario sobre el que presentar la colección crucero 202,0,desfil firma roma conviert oda libertad mujer decidir propio cuerpo museo capitolino roma transformaron noch mart escenario presentar colecci n crucero
5, El miedo a la pérdida de identidad y la aversión a los inmigrantes ha sido el combustible que ha hecho crecer a la extrema derecha en toda Europa. Sus líderes quieren convertirla en una fortaleza inexpugnable frente a quienes ahora la asedian con frágil,0,miedo p rdida identidad aversi n inmigrant sido combust hecho crecer extrema derecha toda europa l dere quieren convertirla fortaleza inexpugn frent ahora asedian fr gil
6," El Ministerio de Exteriores de Rusia ha convocado este martes al embajador de España en Moscú, Fernando Valderrama, para informarle de su malestar por unas declaraciones hostiles sobre Rusia del ministro de Exteriores español, Josep Borrell. El Gobierno",0,ministerio exterior rusia convocado mart embajador espa mosc fernando valderrama informarl malestar una declaracion hostil rusia ministro exterior espa ol josep borrel gobierno
7," El nuevo plan migratorio del presidente parece muerto antes incluso de haber nacido. El cerebro que ha pasado meses trabajando en el que debería ser el mensaje central de la campaña de reelección de Trump en 2020 ha sido su yerno Jared Kushner, asesorad",0,nuevo plan migratorio president parec muerto incluso haber nacido cerebro pasado mese trabajando deber ser mensaj central campa reelecci n trump sido yerno jare kushner asesorad
8," El secretario general de Podemos , Lander Martínez, ha denunciado este sábado ""la Euskadi de dos velocidades "" que está dejando las políticas del PNV , a la vez que ha reivindicado el voto de izquierdas, feminista y ecologista para Elkarrekin Podemos. E",0,secretario gener podemo lander mart nez denunciado s bado euskadi do velocidad est dejando pol tica pnv vez reivindicado voto izquierda feminista ecologista elkarrekin podemo
9," Ernest Maragall, el candidato que podría arrebatar la alcadía a Ada Colau (tan sólo le separaría una décima, según el barómetro del CIS), se ha lanzado directamente a conquistar el voto inmigrante: «Barcelona somos todos» y la hipotética república catal",0,ernest maragal candidato podr arrebatar alcad ada colau tan s separar d cima seg n bar metro ci lanzado directament conquistar voto inmigrant barcelona hipot tica rep blica catal
10," España es líder mundial en donación y trasplante de órganos, almacenamiento de energía en las nuevas tecnologías renovables, exportaciones de frutas y hortalizas, gestión de infraestructuras, banderas azules, bares... y también en masturbación . Así lo ",0,espa l der mundial donaci n trasplant rgano almacenamiento energ nueva tecnolog as renov exportacion fruta hortaliza gesti n infraestructura bandera azul bare tambi n masturbaci n as
11," Existe un lugar en Madrid donde las africanas tienen su propio lugar de encuentro. A él acuden mujeres de varios países con un objetivo común: ""empoderarse y saltar las barreras"" que existen en una sociedad que todavía las mira ""con extrañeza"", cuenta N",0,exist lugar madrid africana propio lugar encuentro l acuden mujer vario pa se objetivo com n empoderars saltar barrera existen sociedad todav mira extra eza cuenta n
12," Gente de todas las edades -muchos jóvenes- y de todas las clases sociales recibieron entusiasmados al líder de Vox, Santiago Abascal . Entre aplausos, una música ensordecedora y un fuerte ¡Viva España!, Abascal subió al escenario acompañado por Jorge Ca",0,gent toda edad j vene toda clase social recibieron entusiasmado l der vox santiago abasc aplauso m sica ensordecedora fuert viva espa abasc subi escenario acompa ado jorg ca
13," La juez de Instrucción número 19 de Madrid, encargada del control del Centro de Internamiento de Extranjeros (CIE) de Aluche, ha solicitado que se deduzca testimonio contra varios agentes de Policía que custodian a internos por un delito de torturas a r",0,juez instrucci n n mero madrid encargada control centro internamiento extranjero cie aluch solicitado deduzca testimonio vario agent polic custodian interno delito tortura r
14," La mujer pakistaní de fe cristiana Asia Bibi que pasó ocho años en prisión por un supuesto delito de blasfemia que luego se demostró falso ha dejado Pakistán. Así lo ha dicho su abogado y lo han recogido varios medios del país este miércoles, seis meses",0,mujer pakistan fe cristiana asia bibi pa ocho prisi n supuesto delito blasfemia luego demostr falso dejado pakist n as dicho abogado recogido vario medio pa s rcole sei mese
15, La proyección demográfica de la población en Cataluña indica la llegada de inmigrantes permitirá elevar el número de habitantes y que se registrará un envejecimiento en los próximos años debido a que el crecimiento natural de los autóctonos será negativ,0,proyecci n demogr fica poblaci n catalu indica llegada inmigrant permitir elevar n mero habitant registrar envejecimiento pr ximo debido crecimiento natur aut ctono ser negativ
16, Los candidatos a la alcaldía de Barcelona antes de un debate organizado por las entidades sociales. EFE El segundo día de campaña de las elecciones municipales del próximo 26 de mayo ha dejado un amplio espectro de promesas de los candidatos a la alcal,0,candidato alcald barcelona debat organizado entidad social efe segundo d campa eleccion municipal pr ximo mayo dejado amplio espectro promesa candidato alcal
17," Los centros de detención para inmigrantes en el sur de Texas están tan llenos que las autoridades estadounidenses han decido usar aviones para trasladar a los indocumentados a otras instalaciones con más espacio, desveló este sábado el diario The Washin",0,centro detenc n inmigrant sur texa est n tan lleno autoridad estadounidens decido usar avion trasladar indocumentado instalacion m s espacio desvel s bado diario the washin
18, Miles de personas se han desplazado hasta la plaza de la Virgen de Valencia para asistir al tradicional traslado de la imagen de la Virgen de los Desamparados. La procesión ha arrancado desde la Basílica ante los gritos a la Virgen de los fieles que se ,0,mile persona desplazado plaza virgen valencia asistir tradicion traslado imagen virgen desamparado procesi n arrancado ba lica grito virgen fiel
19," Philip K. Dick se preguntaba si los androides soñaban con ovejas eléctricas e Íñigo Guardamino parece cuestionarse si fingen sus orgasmos. Su última comedia, Metálica, acaba de llegar a la sala de la Princesa del Teatro María Guerrero de Madrid y en ell",0,philip k dick preguntaba si android so aban oveja ctrica igo guardamino parec cuestionars si fingen orgasmo ltima comedia met lica acaba llegar sala princesa teatro mar guerrero madrid ell
20," Se trata de, poco a poco, desmontar un legado e ir imponiendo una agenda ultraconservadora liderada por grupos religiosos. El Departamento de Salud y Servicios Humanos (HHS, siglas en inglés) prepara una ley que tiene poco de humana y mucho de intransig",0,trata desmontar legado ir imponiendo agenda ultraconservadora liderada grupo religioso departamento salud servicio humano hh sigla ingl s prepara ley humana intransig
21," Tres chicas han denunciado a un taxista por una supuesta agresión homófoba ocurrida la madrugada del pasado 4 de marzo en el aparcamiento de una discoteca de las afueras de Barcelona. Según ha adelantado Europa Press y ha podido confirmar EL MUNDO, las ",0,tre chica denunciado taxista supuesta agresi n hom foba ocurrida madrugada pasado marzo aparcamiento discoteca afuera barcelona seg n adelantado europa press podido confirmar mundo
22," Un grupo de inmigrantes rescatados en aguas del Estrecho, este abril. A. Carrasco Ragel EFE Viajar a la ciudad escogida de Europa desde Marruecos con desplazamientos y alojamiento incluido por entre 3.500 y 6.500 euros. Ese era el caro reclamo con el q",0,grupo inmigrant rescatado agua estrecho abril carrasco ragel efe viajar ciudad escogida europa marrueco desplazamiento alojamiento incluido euro caro reclamo q
23, Un subsahariano es sacado del accidente de 'coche patera' en Ceuta. Joaquín Sánchez Los peligros para la vida de muchos inmigrantes no se limitan al mar. Siete personas subsaharianas que estaban ocultas en dobles fondos de un vehículo han resultado her,0,subsahariano sacado accident coch patera ceuta joaqu n s nchez peligro vida inmigrant limitan mar siet persona subsahariana oculta dobl fondo veh culo resultado her
24," Un total de 202 inmigrantes han sido rescatados este sábado cuando navegaban en siete pateras frente a las costas andaluzas, la mayoría de ellos en aguas del Estrecho y el resto en las cercanías de la Isla de Alborán. En concreto, en el Estrecho han sid",0,total inmigrant sido rescatado s bado navegaban siet patera frent costa andaluza mayor agua estrecho resto cercan as isla albor n concreto estrecho sid
25," Unas 300 personas han sido desalojadas de un asentamiento chabolista de inmigrantes en Lepe, Huelva , que ha sido arrasado por un incendio . El fuego ha destruido unas 150 de las infraviviendas que están ubicadas junto al cementerio, en la madrugada de ",0,una persona sido desalojada asentamiento chabolista inmigrant lepe huelva sido arrasado incendio fuego destruido una infravivienda est n ubicada junto cementerio madrugada
26," Vox evitará la foto con sus homólogos de la extrema derecha europea durante la campaña al Parlamento de la UE. ""No nos daría ningún voto, al contrario"", reconocen responsables del partido ultranacionalista español, que ha irrumpido en el panorama políti",0,vox evitar foto hom logo extrema derecha europea campa parlamento ue dar ning n voto contrario reconocen respons partido ultranacionalista espa ol irrumpido panorama pol
27, Vox ha presentado este viernes una querella criminal contra los 52 migrantes subsaharianos que el pasado domingo llegaron a Melilla saltando la valla fronteriza entre España y Marruecos. El vicesecretario jurídico de Vox en Melilla y número 8 de la cand,0,vox presentado viern querella crimin migrant subsahariano pasado domingo llegaron melilla saltando valla fronteriza espa marrueco vicesecretario jur dico vox melilla n mero cand
28," Vox ya no quiere cerrar los canales autonómicos de televisión sino privatizarlos. Si en las 100 medidas que hizo públicas en octubre pasado el partido ultranacionalista pedía ""cerrar [...] las televisiones autonómicas"", en el programa electoral para las",0,vox quier cerrar canal auton mico televisi n sino privatizarlo si medida hizo p blica octubr pasado partido ultranacionalista ped cerrar television auton mica programa elector
29," ""Alfredo, gracias por tanto. Tú, como nadie de los que estamos hoy al frente del partido, encarnas lo que el PSOE ha representado y representa para nuestro país"". Así arranca el mensaje que el presidente del Gobierno, Pedro Sánchez , ha escrito en el lib",0,alfredo gracia t nadi hoy frent partido encarna psoe representado representa pa s as arranca mensaj president gobierno pedro s nchez escrito lib
30," ""Nos sentimos muy orgullosos de haber salvado a esta manada"". El que habla es Ciro Muñoz , piloto de la Brigada Helitransportada de la Comunidad de Madrid con base e Bustarviejo , y uno de los héroes del grave incendio que hace casi una semana se declaró",0,sentimo orgulloso haber salvado manada habla ciro mu oz piloto brigada helitransportada comunidad madrid base bustarviejo h roe grave incendio hace casi semana declar
31," «El Imserso se tiene que reinventar. No puede ser que perdure sobre el altruismo del sector empresarial y seguir trabajando con estos precios. Es insostenible e inviable». El entrecomillado pertenece al secretario autonómico de Turismo de la Comunidad, e",0,imserso reinventar pued ser perdur altruismo sector empresari seguir trabajando precio insosten inviabl entrecomillado pertenec secretario auton mico turismo comunidad
32," Ahora que no preside el Parlament, Picornell pudo retomar su tarea de liderar las manifestaciones antimonárquicas frente al Palacio de la Almudaina. Algo que su cargo le impidió realizar el pasado año, porque tenía que estar dentro, abrazando a Felipe VI",0,ahora presid parlament picornel pudo retomar tarea liderar manifestacion antimon rquica frent palacio almudaina cargo impidi realizar pasado ten dentro abrazando felip vi
33," Ampliar foto Grúas de una promoción inmobiliaria en el Guinardó. Carles Ribas Siete meses después de aprobar la obligación de reservar un 30% de vivienda social en las promociones inmobiliarias de mayores dimensiones de la ciudad, el Ayuntamiento de Barc",0,ampliar foto gr as promoci n inmobiliaria guinard carl riba siet mese despu s aprobar obligaci n reservar vivienda social promocion inmobiliaria mayor dimension ciudad ayuntamiento barc
34," Anne Hathaway, más eco que nunca, se sincera con una recomendación para todas las mujeres Al buen tiempo, colores vivos y llenos de energía . Y este verano no iba a ser menos. Durante las vacaciones, las celebs nos han sorprendido con looks llenos de col",0,ann hathaway m s eco nunca sincera recomendaci n toda mujer buen tiempo color vivo lleno energ verano iba ser meno vacacion celeb sorprendido look lleno col
35," Así arrancó la aventura atlántica de Savin a bordo de su barril El aventurero francés Jean-Jacques Savin ha llegado la madrugada del jueves a la isla caribeña de Martinica , el destino final de un periplo de más de cuatro meses en el Atlántico a bordo de",0,as arranc aventura atl ntica savin bordo barril aventurero franc s jean jacqu savin llegado madrugada juev isla carib martinica destino final periplo m s cuatro mese atl ntico bordo
36," Aunque no haya más ciego que el que no quiere ver, y el Gobierno en funciones o no observa o es incapaz de interpretar la realidad económica , los síntomas de desaceleración son preocupantes. En un contexto internacional incierto, con una guerra comercia",0,aunqu m s ciego quier ver gobierno funcion observa incapaz interpretar realidad econ mica s ntoma desaceleraci n preocupant contexto internacion incierto guerra comercia
37," Cansado de leer y escuchar que las personas mayores son más propensas a creerse las fake news y que eso las hace votar mal según algunos, el tuitero Flugbeiler ha compuesto un single con el que pretende ""parodiar una serie de ideas que se están populariz",0,cansado leer escuchar persona mayor m s propensa creers fake news hace votar mal seg n tuitero flugbeil compuesto singl pretend parodiar seri idea est n populariz
38," Carlos Guibouich es un barcelonés de origen peruano de 61 años que, durante cuatro, ha malvivido durmiendo en la calle. Hace unos meses, la suerte le sonrió y hoy es uno de los redactores de la guía que la Fundación Arrels ha editado para entregar a las ",0,carlo guibouich barcelon s origen peruano cuatro malvivido durmiendo call hace mese suert sonri hoy redactor gu fundaci n arrel editado entregar
39," Cientos de manifestantes han organizado este viernes una sentada en el aeropuerto de Hong Kong para sensibilizar a los visitantes extranjeros sobre sus protestas, que empezaron hace dos meses. ""No somos agitadores, esto es una tiranía"", gritaban los mani",0,ciento manifestant organizado viern sentada aeropuerto hong kong sensibilizar visitant extranjero protesta empezaron hace do mese agitador tiran gritaban mani
